,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
1459,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9106076210092688,0.8211955114181585,4472,4370,434,434,0.9708129614436672,0.9703571593165279
7135,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9105046343975283,0.8209884440822907,4481,4360,444,425,0.9705636023859721,0.9701796156708177
3221,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,0.9105046343975283,0.8209876574405772,4475,4366,438,431,0.9705539708552426,0.9700614974784443
3220,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,0.9105046343975283,0.8209876574405772,4475,4366,438,431,0.9705539708552426,0.9700614974784443
1404,curriculum-reordered-shuffled-20pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9104016477857878,0.8207864732465768,4468,4372,432,438,0.9704457752457272,0.9700095730911726
1435,curriculum-reordered-shuffled-20pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9104016477857878,0.8207834168707627,4482,4358,446,424,0.9703580731575433,0.9700022199463594
7145,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9104016477857878,0.8207827295048873,4481,4359,445,425,0.9707309237138639,0.970307952047145
5691,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9104016477857878,0.8207815035091964,4478,4362,442,428,0.9705112654117221,0.9699245367921036
5419,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9102986611740473,0.8205809075842561,4485,4354,450,421,0.970477491409693,0.9700225274150877
2234,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9102986611740473,0.8205765154782105,4472,4367,437,434,0.9705689273071462,0.9702159692213694
1054,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,hardest-interleaved-25pct,no-hard-95pct,0.9102986611740473,0.8205788450014906,4469,4370,434,437,0.9704743304007092,0.9698825071742
5972,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9102986611740473,0.8205779292183036,4470,4369,435,436,0.9702062174373646,0.9697415572538195
921,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9102986611740473,0.8205759549467654,4479,4360,444,427,0.9706480161762195,0.97020176732898
7467,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9101956745623069,0.8203702512851723,4472,4366,438,434,0.9701665244990502,0.9696117548163502
1052,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9101956745623069,0.8203702512851723,4472,4366,438,434,0.9704771095428358,0.9699629355461298
4202,easiest-interleaved-25pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9101956745623069,0.8203697644173222,4478,4360,444,428,0.9703601946400829,0.9697754321261546
1280,curriculum-reordered-shuffled-20pct,baseline,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9101956745623069,0.8203723746202367,4469,4369,435,437,0.9702791752218987,0.9697946094319755
7110,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9100926879505664,0.8201636602841506,4473,4364,440,433,0.9706891941523116,0.9702996220295446
1566,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9100926879505664,0.8201636602841506,4473,4364,440,433,0.9703608098700193,0.9699137245500727
6692,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9100926879505664,0.8201634388442353,4474,4363,441,432,0.9706520469930444,0.9702865423465433
64,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9100926879505664,0.8201634136365736,4476,4361,443,430,0.9705006579990244,0.9699639143807195
5592,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-hard-95pct,0.9100926879505664,0.8201636602841506,4473,4364,440,433,0.9704009058900162,0.969816545758323
7089,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9100926879505664,0.8201636602841506,4473,4364,440,433,0.9706891941523116,0.9702996220295446
5742,baseline,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,hardest-interleaved-10pct,0.9100926879505664,0.8201634388442353,4474,4363,441,432,0.9706450885303152,0.9702049413560572
2837,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9100926879505664,0.8201651599000376,4470,4367,437,436,0.9704592042302023,0.9698944011456592
5735,baseline,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,hardest-interleaved-10pct,0.9100926879505664,0.8201634388442353,4474,4363,441,432,0.9706450885303152,0.9702049413560572
4303,easiest-interleaved-25pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9100926879505664,0.8201634388442353,4474,4363,441,432,0.9703536180442103,0.9698149020891351
1786,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9100926879505664,0.8201640209426252,4472,4365,439,434,0.970181926462287,0.969752734341365
6688,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.909989701338826,0.8199573657948835,4475,4361,443,431,0.9705138960500709,0.9701290964382647
5106,easiest-interleaved-25pct,hardest-interleaved-50pct,easiest-interleaved-10pct,easiest-interleaved-50pct,no-hard-95pct,0.909989701338826,0.8199622676913835,4483,4353,451,423,0.9701398998931792,0.9693450271937832
5740,baseline,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.909989701338826,0.8199575323611805,4473,4363,441,433,0.970343562216973,0.9697989663123254
6268,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-80pct,0.909989701338826,0.819957491300767,4476,4360,444,430,0.9701450126660994,0.9695828330964833
5761,baseline,no-easy-80pct,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-95pct,0.909989701338826,0.819957491300767,4476,4360,444,430,0.9707140791425002,0.9701836161782356
2858,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.909989701338826,0.8199603844591181,4468,4368,436,438,0.9704074400562381,0.9697069049995181
4590,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.909989701338826,0.8199622676913835,4483,4353,451,423,0.9705951276165092,0.9701416005951468
853,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.909989701338826,0.8199573794831504,4474,4362,442,432,0.9702349210961242,0.9695626497917075
5075,easiest-interleaved-25pct,hardest-interleaved-50pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.909989701338826,0.8199602069108902,4481,4355,449,425,0.9706616360941233,0.9700474122652657
3323,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.909989701338826,0.8199582556700449,4471,4365,439,435,0.970300941632754,0.9696594422435962
5733,baseline,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,0.909989701338826,0.8199575323611805,4473,4363,441,433,0.970343562216973,0.9697989663123254
4960,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,0.909989701338826,0.8199581599135979,4478,4358,446,428,0.970449742418076,0.9699424817991581
7051,no-easy-80pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909989701338826,0.8199622676913835,4483,4353,451,423,0.970145479392258,0.9696561534806574
4953,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.909989701338826,0.8199581599135979,4478,4358,446,428,0.970449742418076,0.9699424817991581
3350,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9098867147270855,0.819751935762738,4477,4358,446,429,0.9697961985069515,0.9692141075538558
1571,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9098867147270855,0.8197520243572908,4471,4364,440,435,0.9707410644004029,0.9703787788975362
4401,easiest-interleaved-25pct,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9098867147270855,0.8197516026282834,4476,4359,445,430,0.9702371274379653,0.9695708975586215
5687,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-90pct,0.9098867147270855,0.8197548663748518,4467,4368,436,439,0.9703454715512585,0.9696854544938572
5686,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-95pct,0.9098867147270855,0.8197548663748518,4467,4368,436,439,0.9703454715512585,0.9696854544938572
4972,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.9098867147270855,0.819756857348801,4483,4352,452,423,0.9704407261172832,0.9700002336468534
3606,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9098867147270855,0.8197525261533939,4470,4365,439,436,0.9702670615565979,0.9698252580285014
233,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9098867147270855,0.8197531670906052,4469,4366,438,437,0.9705603565176865,0.9700690460468926
354,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9098867147270855,0.8197548663748518,4467,4368,436,439,0.9708291907850944,0.9703821426463954
688,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9098867147270855,0.8197513538531062,4474,4361,443,432,0.9704797613960103,0.96995254949176
4690,easiest-interleaved-25pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9098867147270855,0.8197581647958839,4484,4351,453,422,0.9705251186927051,0.9699295284238618
4238,easiest-interleaved-25pct,baseline,no-easy-80pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9098867147270855,0.8197546600635545,4481,4354,450,425,0.9705266249453082,0.9700127574906563
4976,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9098867147270855,0.8197516026282834,4476,4359,445,430,0.9705723641088602,0.9701309371957861
6858,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,no-hard-95pct,0.9098867147270855,0.8197524080682557,4478,4357,447,428,0.97076024260256,0.970234894134036
1724,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9098867147270855,0.819755924715668,4466,4369,435,440,0.9703506691834802,0.9697901817041324
3365,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,no-easy-90pct,0.9098867147270855,0.8197525261533939,4470,4365,439,436,0.970466926426646,0.9698892909087901
107,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,easiest-interleaved-10pct,0.9098867147270855,0.8197530195499668,4479,4356,448,427,0.9699238693261799,0.9692752736479953
108,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,hardest-interleaved-25pct,0.909783728115345,0.8195462600549175,4470,4364,440,436,0.9704840255759146,0.9699066431596057
5690,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.909783728115345,0.8195462600549175,4470,4364,440,436,0.9703027661077379,0.9696645373039934
5132,easiest-interleaved-25pct,hardest-interleaved-50pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.909783728115345,0.8195543708248109,4485,4349,455,421,0.9707815635020823,0.9703353987015089
1083,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909783728115345,0.8195502439636985,4482,4352,452,424,0.9703841673927796,0.9699935962777344
6741,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909783728115345,0.8195502439636985,4482,4352,452,424,0.970388007276176,0.9700500796835986
229,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.909783728115345,0.8195468323659918,4469,4365,439,437,0.9705861113157163,0.9700783656667351
6051,baseline,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909783728115345,0.8195491466856312,4481,4353,451,425,0.9701172636744825,0.9697377232852749
2894,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.909783728115345,0.8195578179869644,4487,4347,457,419,0.9703423529719255,0.9699144170564633
1933,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.9708792577730272,0.9704560165174787
114,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,hardest-interleaved-10pct,0.909783728115345,0.8195560248091921,4486,4348,456,420,0.9704225662267447,0.9699833591916766
2836,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,0.909783728115345,0.8195466897931323,4478,4356,448,428,0.9698969689275787,0.9692574251606193
6863,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-80pct,0.909783728115345,0.8195457475934794,4476,4358,446,430,0.9705670604025115,0.9701311205758254
4751,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.909783728115345,0.8195454851965523,4475,4359,445,431,0.9702882127375169,0.9697596400246313
3210,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.970443674978013,0.9698215393197742
7353,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,no-hard-95pct,0.909783728115345,0.8195458268517697,4471,4363,441,435,0.9707811816352251,0.9703206542142315
230,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.909783728115345,0.8195468323659918,4469,4365,439,437,0.9705861113157163,0.9700783656667351
4644,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.909783728115345,0.8195461491239987,4477,4357,447,429,0.9706668973708212,0.9701034598426154
6626,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.909783728115345,0.8195462600549175,4470,4364,440,436,0.9706020860792389,0.97009265732801
6720,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-95pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909783728115345,0.8195502439636985,4482,4352,452,424,0.970388007276176,0.9700500796835986
1219,curriculum-reordered-shuffled-20pct,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.909783728115345,0.8195458268517697,4471,4363,441,435,0.9705622234223212,0.970033796386455
1068,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,no-easy-90pct,hardest-interleaved-10pct,0.909783728115345,0.8195491466856312,4481,4353,451,425,0.9704340858769344,0.9700594315334677
1061,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,no-easy-95pct,hardest-interleaved-10pct,0.909783728115345,0.8195491466856312,4481,4353,451,425,0.9704340858769344,0.9700594315334677
6580,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.909783728115345,0.8195455327602943,4472,4362,442,434,0.9707432070977677,0.9703004055864198
6696,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-95pct,0.909783728115345,0.8195454851965523,4475,4359,445,431,0.9707581211200205,0.9703298020866408
1940,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.9708792577730272,0.9704560165174787
1038,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.909783728115345,0.8195517804240359,4464,4370,434,442,0.9703927593970646,0.9697424109531052
810,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-50pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.909783728115345,0.8195466897931323,4478,4356,448,428,0.970836785692586,0.9703742294673776
905,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,0.9096807415036046,0.8193399261707243,4476,4357,447,430,0.9705130050274045,0.9699821131971961
3224,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9705190088229914,0.9700497597598259
1400,curriculum-reordered-shuffled-20pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,0.9096807415036046,0.819343937045491,4465,4368,436,441,0.9705195179788008,0.970074855787371
4003,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9096807415036046,0.8193411742811728,4468,4365,439,438,0.9704280820813476,0.9699797154964696
653,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9096807415036046,0.8193395953789615,4475,4358,446,431,0.9704057216553809,0.9698648381068586
898,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.9096807415036046,0.8193399261707243,4476,4357,447,430,0.9705130050274045,0.9699821131971961
1044,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-10pct,0.9096807415036046,0.8193410050626472,4478,4355,449,428,0.9702894431973899,0.969750877632667
611,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,baseline,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9096807415036046,0.8193395953789615,4475,4358,446,431,0.9705706457080032,0.9700945411102445
6852,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9096807415036046,0.8193394036833749,4474,4359,445,432,0.9705837352552721,0.9700986977249498
5688,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9096807415036046,0.8193394036833749,4474,4359,445,432,0.9702999657507859,0.969668931501652
4024,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9096807415036046,0.8193411742811728,4468,4365,439,438,0.9704280820813476,0.9699797154964696
4689,easiest-interleaved-25pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9096807415036046,0.8193403960635772,4477,4356,448,429,0.9703008992031033,0.9696254582893937
5590,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9096807415036046,0.8193411742811728,4468,4365,439,438,0.9704145258079201,0.969927499050067
1401,curriculum-reordered-shuffled-20pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,0.9096807415036046,0.819343937045491,4465,4368,436,441,0.9705195179788008,0.970074855787371
5582,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-10pct,0.9096807415036046,0.8193448322310735,4482,4351,453,424,0.9702304447679658,0.9696915647471815
6244,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9703486325602424,0.9697885559913921
6237,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9703486325602424,0.9697885559913921
7146,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-90pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9704346162475692,0.9700472330324386
2873,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9096807415036046,0.8193395953789615,4475,4358,446,431,0.9706909549828193,0.9701943932329433
3034,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-95pct,0.9096807415036046,0.8193451360881806,4464,4369,435,442,0.9704359739963945,0.9698247011406137
2869,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9705152537988964,0.9699436561705242
2868,curriculum-reordered-shuffled-00pct,baseline,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9705152537988964,0.9699436561705242
3035,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-90pct,0.9096807415036046,0.8193451360881806,4464,4369,435,442,0.9704359739963945,0.9698247011406137
8170,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9096807415036046,0.8193394375621383,4472,4361,443,434,0.9704531367901391,0.9699594533346286
65,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9096807415036046,0.8193436667516151,4481,4352,452,425,0.9706795201919314,0.9702284189516309
911,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9096807415036046,0.8193399261707243,4476,4357,447,430,0.9703868616756046,0.9698923643702319
3100,curriculum-reordered-shuffled-00pct,baseline,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9096807415036046,0.819343937045491,4465,4368,436,441,0.9703323820039897,0.9698343888332829
1017,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9095777548918641,0.8191385257472438,4464,4368,436,442,0.9704062944556665,0.9698776756534618
550,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9095777548918641,0.8191439894711602,4485,4347,457,421,0.9704295883339507,0.9700544919391043
4688,easiest-interleaved-25pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.9095777548918641,0.819137125685536,4480,4352,452,426,0.9702077449047929,0.9695084447711663
1979,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9095777548918641,0.8191334790923376,4474,4358,446,432,0.9703387464516084,0.9699496588352182
5405,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.9095777548918641,0.8191423384943726,4484,4348,456,422,0.9704695782798205,0.970041633262729
2919,curriculum-reordered-shuffled-00pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,easiest-interleaved-50pct,0.9095777548918641,0.8191341383343995,4476,4356,448,430,0.9704121497474758,0.9699941564531642
3754,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-95pct,hardest-interleaved-10pct,0.9095777548918641,0.8191334790923376,4474,4358,446,432,0.9709602984060368,0.9705684855297416
1505,curriculum-reordered-shuffled-20pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9095777548918641,0.8191335331594081,4471,4361,443,435,0.9706658366295515,0.9701625552656331
4588,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.9095777548918641,0.8191341383343995,4476,4356,448,430,0.9702516808081862,0.9697034563315223
7899,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-95pct,no-easy-90pct,hardest-interleaved-10pct,0.9095777548918641,0.8191335331594081,4471,4361,443,435,0.9707133154087859,0.9703188364870261
2924,curriculum-reordered-shuffled-00pct,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.9095777548918641,0.8191373954294983,4465,4367,437,441,0.9703625494857018,0.9697474429948854
